image,detected,num_hands,selected_hand,is_right,mean_err_px,median_err_px,max_err_px,max_err_joint,csv
sample_0000_right_ZY20210800001_H1_C1_N19_S100_s02_T1_f000000.jpg,True,1,0,True,14.112192720338246,9.426728392100348,46.886233462728896,20,hoi4d_samples2/wilor_vs_gt_2djoints/csv/sample_0000_right_ZY20210800001_H1_C1_N19_S100_s02_T1_f000000_wilor_vs_gt.csv
sample_0001_right_ZY20210800001_H1_C1_N19_S100_s02_T1_f000042.jpg,True,1,0,True,17.740497549763457,13.735621734386724,40.035243345010116,20,hoi4d_samples2/wilor_vs_gt_2djoints/csv/sample_0001_right_ZY20210800001_H1_C1_N19_S100_s02_T1_f000042_wilor_vs_gt.csv
sample_0002_right_ZY20210800001_H1_C1_N19_S100_s02_T1_f000085.jpg,True,1,0,True,28.34075623635792,26.90423708734256,43.05007849298747,20,hoi4d_samples2/wilor_vs_gt_2djoints/csv/sample_0002_right_ZY20210800001_H1_C1_N19_S100_s02_T1_f000085_wilor_vs_gt.csv
sample_0003_right_ZY20210800001_H1_C1_N19_S100_s02_T1_f000128.jpg,True,1,0,True,26.651912317565483,25.733748551973804,48.853565226257345,17,hoi4d_samples2/wilor_vs_gt_2djoints/csv/sample_0003_right_ZY20210800001_H1_C1_N19_S100_s02_T1_f000128_wilor_vs_gt.csv
sample_0004_right_ZY20210800001_H1_C1_N19_S100_s02_T1_f000170.jpg,True,1,0,True,17.01190817877159,12.291928779927657,48.058751243943135,20,hoi4d_samples2/wilor_vs_gt_2djoints/csv/sample_0004_right_ZY20210800001_H1_C1_N19_S100_s02_T1_f000170_wilor_vs_gt.csv
sample_0005_right_ZY20210800001_H1_C2_N11_S212_s03_T2_f000019.jpg,False,0,-1,,nan,nan,nan,-1,
sample_0006_right_ZY20210800001_H1_C2_N11_S212_s03_T2_f000054.jpg,True,1,0,True,16.81410597249465,13.352351446737087,45.8272384011292,20,hoi4d_samples2/wilor_vs_gt_2djoints/csv/sample_0006_right_ZY20210800001_H1_C2_N11_S212_s03_T2_f000054_wilor_vs_gt.csv
sample_0007_right_ZY20210800001_H1_C2_N11_S212_s03_T2_f000089.jpg,True,1,0,True,22.48079210907754,21.77503138184339,54.85741323991249,20,hoi4d_samples2/wilor_vs_gt_2djoints/csv/sample_0007_right_ZY20210800001_H1_C2_N11_S212_s03_T2_f000089_wilor_vs_gt.csv
sample_0008_right_ZY20210800001_H1_C2_N11_S212_s03_T2_f000124.jpg,True,1,0,True,25.338542513306,20.183108156618644,64.54739172850316,20,hoi4d_samples2/wilor_vs_gt_2djoints/csv/sample_0008_right_ZY20210800001_H1_C2_N11_S212_s03_T2_f000124_wilor_vs_gt.csv
sample_0009_right_ZY20210800001_H1_C2_N11_S212_s03_T2_f000159.jpg,True,1,0,True,8.562774221393045,9.097019451919827,15.287525141252608,3,hoi4d_samples2/wilor_vs_gt_2djoints/csv/sample_0009_right_ZY20210800001_H1_C2_N11_S212_s03_T2_f000159_wilor_vs_gt.csv
