image,mean_err_px,median_err_px,rmse_err_px,min_err_px,max_err_px,max_err_joint,csv,json,overlay
sample_0020_right_ZY20210800001_H1_C7_N11_S270_s03_T1_f000020.jpg,1.3831141762,0.6860350623,2.1662855436,0.2087281170,5.8226952535,8,hoi4d_samples2/mano_projection_vs_gt_2djoints/csv/sample_0020_right_ZY20210800001_H1_C7_N11_S270_s03_T1_f000020_mano_vs_gt.csv,hoi4d_samples2/mano_projection_vs_gt_2djoints/json/sample_0020_right_ZY20210800001_H1_C7_N11_S270_s03_T1_f000020_mano_vs_gt.json,hoi4d_samples2/mano_projection_vs_gt_2djoints/overlays/sample_0020_right_ZY20210800001_H1_C7_N11_S270_s03_T1_f000020_mano_vs_gt.jpg
sample_0021_right_ZY20210800001_H1_C7_N11_S270_s03_T1_f000055.jpg,1.1416457646,0.5107058230,1.8461912999,0.0076845429,4.9548912493,4,hoi4d_samples2/mano_projection_vs_gt_2djoints/csv/sample_0021_right_ZY20210800001_H1_C7_N11_S270_s03_T1_f000055_mano_vs_gt.csv,hoi4d_samples2/mano_projection_vs_gt_2djoints/json/sample_0021_right_ZY20210800001_H1_C7_N11_S270_s03_T1_f000055_mano_vs_gt.json,hoi4d_samples2/mano_projection_vs_gt_2djoints/overlays/sample_0021_right_ZY20210800001_H1_C7_N11_S270_s03_T1_f000055_mano_vs_gt.jpg
sample_0022_right_ZY20210800001_H1_C7_N11_S270_s03_T1_f000091.jpg,1.2566998487,0.8042864597,1.7924328804,0.1838998375,5.0165666111,4,hoi4d_samples2/mano_projection_vs_gt_2djoints/csv/sample_0022_right_ZY20210800001_H1_C7_N11_S270_s03_T1_f000091_mano_vs_gt.csv,hoi4d_samples2/mano_projection_vs_gt_2djoints/json/sample_0022_right_ZY20210800001_H1_C7_N11_S270_s03_T1_f000091_mano_vs_gt.json,hoi4d_samples2/mano_projection_vs_gt_2djoints/overlays/sample_0022_right_ZY20210800001_H1_C7_N11_S270_s03_T1_f000091_mano_vs_gt.jpg
sample_0023_right_ZY20210800001_H1_C7_N11_S270_s03_T1_f000126.jpg,1.2501530908,0.8213310673,1.7685144040,0.1031282993,5.0976383184,4,hoi4d_samples2/mano_projection_vs_gt_2djoints/csv/sample_0023_right_ZY20210800001_H1_C7_N11_S270_s03_T1_f000126_mano_vs_gt.csv,hoi4d_samples2/mano_projection_vs_gt_2djoints/json/sample_0023_right_ZY20210800001_H1_C7_N11_S270_s03_T1_f000126_mano_vs_gt.json,hoi4d_samples2/mano_projection_vs_gt_2djoints/overlays/sample_0023_right_ZY20210800001_H1_C7_N11_S270_s03_T1_f000126_mano_vs_gt.jpg
sample_0024_right_ZY20210800001_H1_C7_N11_S270_s03_T1_f000173.jpg,1.4209010297,0.8765565746,2.1197887887,0.2701912698,6.3313167230,8,hoi4d_samples2/mano_projection_vs_gt_2djoints/csv/sample_0024_right_ZY20210800001_H1_C7_N11_S270_s03_T1_f000173_mano_vs_gt.csv,hoi4d_samples2/mano_projection_vs_gt_2djoints/json/sample_0024_right_ZY20210800001_H1_C7_N11_S270_s03_T1_f000173_mano_vs_gt.json,hoi4d_samples2/mano_projection_vs_gt_2djoints/overlays/sample_0024_right_ZY20210800001_H1_C7_N11_S270_s03_T1_f000173_mano_vs_gt.jpg
sample_0025_right_ZY20210800001_H1_C12_N11_S169_s03_T1_f000032.jpg,1.2671179817,0.8032294464,1.8153007159,0.1866647006,4.5659191559,8,hoi4d_samples2/mano_projection_vs_gt_2djoints/csv/sample_0025_right_ZY20210800001_H1_C12_N11_S169_s03_T1_f000032_mano_vs_gt.csv,hoi4d_samples2/mano_projection_vs_gt_2djoints/json/sample_0025_right_ZY20210800001_H1_C12_N11_S169_s03_T1_f000032_mano_vs_gt.json,hoi4d_samples2/mano_projection_vs_gt_2djoints/overlays/sample_0025_right_ZY20210800001_H1_C12_N11_S169_s03_T1_f000032_mano_vs_gt.jpg
sample_0026_right_ZY20210800001_H1_C12_N11_S169_s03_T1_f000065.jpg,1.4536962853,0.8518198269,2.2039409236,0.2649945375,6.8494050033,8,hoi4d_samples2/mano_projection_vs_gt_2djoints/csv/sample_0026_right_ZY20210800001_H1_C12_N11_S169_s03_T1_f000065_mano_vs_gt.csv,hoi4d_samples2/mano_projection_vs_gt_2djoints/json/sample_0026_right_ZY20210800001_H1_C12_N11_S169_s03_T1_f000065_mano_vs_gt.json,hoi4d_samples2/mano_projection_vs_gt_2djoints/overlays/sample_0026_right_ZY20210800001_H1_C12_N11_S169_s03_T1_f000065_mano_vs_gt.jpg
sample_0027_right_ZY20210800001_H1_C12_N11_S169_s03_T1_f000098.jpg,1.1672244281,0.6701988135,1.9618035946,0.1025420488,6.6353872893,8,hoi4d_samples2/mano_projection_vs_gt_2djoints/csv/sample_0027_right_ZY20210800001_H1_C12_N11_S169_s03_T1_f000098_mano_vs_gt.csv,hoi4d_samples2/mano_projection_vs_gt_2djoints/json/sample_0027_right_ZY20210800001_H1_C12_N11_S169_s03_T1_f000098_mano_vs_gt.json,hoi4d_samples2/mano_projection_vs_gt_2djoints/overlays/sample_0027_right_ZY20210800001_H1_C12_N11_S169_s03_T1_f000098_mano_vs_gt.jpg
sample_0028_right_ZY20210800001_H1_C12_N11_S169_s03_T1_f000131.jpg,1.4502409344,0.8632806835,2.1768448715,0.3124380678,6.8421241990,8,hoi4d_samples2/mano_projection_vs_gt_2djoints/csv/sample_0028_right_ZY20210800001_H1_C12_N11_S169_s03_T1_f000131_mano_vs_gt.csv,hoi4d_samples2/mano_projection_vs_gt_2djoints/json/sample_0028_right_ZY20210800001_H1_C12_N11_S169_s03_T1_f000131_mano_vs_gt.json,hoi4d_samples2/mano_projection_vs_gt_2djoints/overlays/sample_0028_right_ZY20210800001_H1_C12_N11_S169_s03_T1_f000131_mano_vs_gt.jpg
sample_0029_right_ZY20210800001_H1_C12_N11_S169_s03_T1_f000190.jpg,1.4810450954,0.8223720856,2.3708559379,0.1598835900,8.1538579560,8,hoi4d_samples2/mano_projection_vs_gt_2djoints/csv/sample_0029_right_ZY20210800001_H1_C12_N11_S169_s03_T1_f000190_mano_vs_gt.csv,hoi4d_samples2/mano_projection_vs_gt_2djoints/json/sample_0029_right_ZY20210800001_H1_C12_N11_S169_s03_T1_f000190_mano_vs_gt.json,hoi4d_samples2/mano_projection_vs_gt_2djoints/overlays/sample_0029_right_ZY20210800001_H1_C12_N11_S169_s03_T1_f000190_mano_vs_gt.jpg
